	exp1	exp2
K10712	1.641976233	-0.699178493
K10712	1.624073611	-0.321210941
K10712	1.543344528	-0.730144169
K00456	1.183202431	-0.892001337
K09838	0.821665383	1.363908633
K16914	0.64140737	0.859214408
K16914	0.619662249	0.944465542
K00456	0.39550523	-0.168906417
K05917	0.264035879	-0.371965633
K13240	0.01699044	0.705962135
K00459	-0.048597837	0.573653989
K00514	-0.161865641	0.015545555
K08967	-0.344346163	-0.484395388
K08967	-0.499804993	0.001437331
K00459	-0.564800947	0.34375226
K00459	-0.829554886	0.225036594
K09839	2.144027271	2.616620948
K04515	2.052403497	1.424940624
K09839	1.940080923	2.44278404
K16431	1.9398378	-0.89711747
K04515	1.781047356	1.835926314
K04515	1.651292098	1.139144005
K00503	1.583360188	4.160925447
K00503	1.412771399	3.895901067
K00434	1.356257287	1.072970109
K00503	1.257718088	3.475976092
K06173	1.254984239	-0.188752182
K06173	1.186654484	0.098152532
K16431	1.173800839	-0.336134503
K00070	1.143644247	0.448424845
K00434	1.051940077	0.994312185
K00507	1.013840267	-0.37382867
K07415	0.959921767	1.550800831
K00070	0.939644587	0.637700059
K00070	0.914978242	0.735636129
K09699	0.888354155	0.455915357
K00503	0.829217681	-0.116770342
K00507	0.790768809	0.231582813
K00070	0.7859488	0.481048489
K04515	0.774805644	0.33719222
K03921	0.773340905	0.102738503
K00503	0.742101164	0.249352182
K00503	0.715256164	-0.102978979
K00474	0.670229255	1.662036463
K21418	0.618488331	0.888932989
K06173	0.613761227	-0.914157444
K04515	0.583823875	0.566858373
K02636	0.575393927	0.464789283
K00485	0.553258215	0.373206371
K06173	0.505506721	-0.413256605
K06173	0.425476813	-0.793876308
K00474	0.396642721	1.360696972
K06173	0.340336325	-1.049710618
K06173	0.288771225	-0.15943551
K00088	0.285176	-1.645355866
K00075	0.269169731	0.475832366
K06173	0.251989033	-0.68575555
K00503	0.233151887	-0.24179992
K00919	0.223616895	0.697848069
K04515	0.208474256	0.682432251
K00059	0.162452768	0.840298091
K04515	0.156911523	0.645756477
K00082	0.154448545	1.137114397
K09839	0.139402703	0.590991315
K00088	0.086766556	-2.444873492
K06173	0.084863779	0.12434729
K19028	0.082717857	-0.285670647
K04345	0.077639231	0.437289787
K06173	0.071028841	-0.278688505
K00059	0.066315427	0.996608327
K00075	0.044176758	0.696605905
K00587	0.040271189	0.406570133
K06173	-0.003335249	-1.022927714
K00485	-0.019415701	0.573799851
K01230	-0.024327368	0.522228606
K00088	-0.046838715	-1.820925157
K06173	-0.047236545	-0.410574694
K06173	-0.052817403	-0.036063134
K06173	-0.055040832	0.469160168
K00485	-0.114668109	0.426268756
K06173	-0.152843398	-0.579491784
K06173	-0.166855559	0.649065215
K00099	-0.168931688	0.61203137
K06173	-0.199234351	-0.164724716
K00500	-0.20114273	-0.337222061
K00503	-0.208231648	-0.849512855
