	exp1
10712	1.641976233
10712	1.624073611
10712	1.543344528
00456	1.183202431
09838	0.821665383
16914	0.64140737
16914	0.619662249
00456	0.39550523
05917	0.264035879
13240	0.01699044
00459	-0.048597837
00514	-0.161865641
08967	-0.344346163
08967	-0.499804993
00459	-0.564800947
00459	-0.829554886
09839	2.144027271
04515	2.052403497
09839	1.940080923
16431	1.9398378
04515	1.781047356
04515	1.651292098
00503	1.583360188
00503	1.412771399
00434	1.356257287
00503	1.257718088
06173	1.254984239
06173	1.186654484
16431	1.173800839
00070	1.143644247
00434	1.051940077
00507	1.013840267
07415	0.959921767
00070	0.939644587
00070	0.914978242
09699	0.888354155
00503	0.829217681
00507	0.790768809
00070	0.7859488
04515	0.774805644
03921	0.773340905
00503	0.742101164
00503	0.715256164
00474	0.670229255
21418	0.618488331
06173	0.613761227
04515	0.583823875
02636	0.575393927
00485	0.553258215
06173	0.505506721
06173	0.425476813
00474	0.396642721
06173	0.340336325
06173	0.288771225
00088	0.285176
00075	0.269169731
06173	0.251989033
00503	0.233151887
00919	0.223616895
04515	0.208474256
00059	0.162452768
04515	0.156911523
00082	0.154448545
09839	0.139402703
00088	0.086766556
06173	0.084863779
19028	0.082717857
04345	0.077639231
06173	0.071028841
00059	0.066315427
00075	0.044176758
00587	0.040271189
06173	-0.003335249
00485	-0.019415701
01230	-0.024327368
00088	-0.046838715
06173	-0.047236545
06173	-0.052817403
06173	-0.055040832
00485	-0.114668109
06173	-0.152843398
06173	-0.166855559
00099	-0.168931688
06173	-0.199234351
00500	-0.20114273
00503	-0.208231648
00914	-0.227889652
10773	-0.240110005
06173	-0.240599425
00503	-0.264585571
00070	-0.279299312
07759	-0.295678167
21418	-0.304472633
00919	-0.304813955
00901	-0.304907975
06173	-0.311040854
00082	-0.321439009
04515	-0.342913705
00913	-0.34717897
00503	-0.362880834
00070	-0.37993274
06173	-0.386547134
04515	-0.415635894
06173	-0.421673018
00919	-0.454708188
00503	-0.480911934
00503	-0.495863963
06173	-0.503879855
00099	-0.515206178
03857	-0.517546352
19028	-0.545792612
02202	-0.546782951
06173	-0.548061127
00919	-0.56098511
21418	-0.566763933
06173	-0.590813856
00485	-0.592459541
06173	-0.597696834
06173	-0.608936331
00474	-0.628345977
00088	-0.631037751
06173	-0.636479467
00901	-0.6416142
07415	-0.666165992
06173	-0.707572859
00075	-0.730840569
00503	-0.80603854
06173	-0.811787465
06173	-0.835284968
06173	-0.849813221
00065	-0.875883332
00067	-0.942311108
06173	-0.946905013
06173	-0.992300611
06173	-1.066780809
06173	-1.077036559
06173	-1.208787815
